,name,max_value,min_value,mean_value,nrows,ncols
272,GSM87059.cel,46093.0,67.5,537.88,712.0,712.0
273,GSM87060.cel,46093.0,67.5,537.88,712.0,712.0
274,GSM87061.cel,46093.0,67.5,537.88,712.0,712.0
275,GSM87062.cel,46093.0,67.5,537.88,712.0,712.0
276,GSM87063.cel,46093.0,67.5,537.88,712.0,712.0
277,GSM87064.cel,46093.0,67.5,537.88,712.0,712.0
278,GSM87065.cel,46093.0,67.5,537.88,712.0,712.0
279,GSM87066.cel,46093.0,67.5,537.88,712.0,712.0
280,GSM87067.cel,46093.0,67.5,537.88,712.0,712.0
281,GSM87068.cel,46093.0,67.5,537.88,712.0,712.0
282,GSM87069.cel,46093.0,67.5,537.88,712.0,712.0
283,GSM87070.cel,46093.0,67.5,537.88,712.0,712.0
284,GSM87071.cel,46093.0,67.5,537.88,712.0,712.0
285,GSM87072.cel,46093.0,67.5,537.88,712.0,712.0
286,GSM87073.cel,46093.0,67.5,537.88,712.0,712.0
287,GSM87074.cel,46093.0,67.5,537.88,712.0,712.0
288,GSM87075.cel,46093.0,67.5,537.88,712.0,712.0
289,GSM87076.cel,46093.0,67.5,537.88,712.0,712.0
290,GSM87077.CEL,46093.0,67.5,537.88,712.0,712.0
291,GSM87078.cel,46093.0,67.5,537.88,712.0,712.0
292,GSM87079.cel,46093.0,67.5,537.88,712.0,712.0
293,GSM87080.cel,46093.0,67.5,537.88,712.0,712.0
294,GSM87081.cel,46093.0,67.5,537.88,712.0,712.0
295,GSM87082.cel,46093.0,67.5,537.88,712.0,712.0
296,GSM87083.cel,46093.0,67.5,537.88,712.0,712.0
297,GSM87084.cel,46093.0,67.5,537.88,712.0,712.0
298,GSM87085.cel,46093.0,67.5,537.88,712.0,712.0
299,GSM87086.cel,46093.0,67.5,537.88,712.0,712.0
300,GSM87087.cel,46093.0,67.5,537.88,712.0,712.0
301,GSM87088.cel,46093.0,67.5,537.88,712.0,712.0
302,GSM87089.cel,46093.0,67.5,537.88,712.0,712.0
303,GSM87090.CEL,46093.0,67.5,537.88,712.0,712.0
304,GSM87091.cel,46093.0,67.5,537.88,712.0,712.0
305,GSM87092.cel,46093.0,67.5,537.88,712.0,712.0
306,GSM87093.cel,46093.0,67.5,537.88,712.0,712.0
307,GSM87094.cel,46093.0,67.5,537.88,712.0,712.0
308,GSM87095.cel,46093.0,67.5,537.88,712.0,712.0
309,GSM87096.cel,46093.0,67.5,537.88,712.0,712.0
310,GSM87097.cel,46093.0,67.5,537.88,712.0,712.0
311,GSM87098.cel,46093.0,67.5,537.88,712.0,712.0
312,GSM87099.cel,46093.0,67.5,537.88,712.0,712.0
313,GSM87100.cel,46093.0,67.5,537.88,712.0,712.0
